,au_id,tsa,stratum_code,si_level,canfi_species,unmanaged_curve_id,managed_curve_id
0,801000,08,BWBS_SB,L,101,801000,801000
1,802000,08,BWBS_SB,M,101,802000,802000
2,803000,08,BWBS_SB,H,101,803000,803000
3,801001,08,BWBS_AT,L,1201,801001,801001
4,802001,08,BWBS_AT,M,1201,802001,802001
5,803001,08,BWBS_AT,H,1201,803001,803001
6,801002,08,BWBS_PL,L,204,801002,801002
7,802002,08,BWBS_PL,M,204,802002,802002
8,803002,08,BWBS_PL,H,204,803002,823002
9,801003,08,BWBS_SW,L,105,801003,821003
10,802003,08,BWBS_SW,M,105,802003,822003
11,803003,08,BWBS_SW,H,105,803003,823003
12,801004,08,BWBS_S,L,100,801004,801004
13,802004,08,BWBS_S,M,100,802004,802004
14,803004,08,BWBS_S,H,100,803004,823004
15,801005,08,SWB_S,L,100,801005,801005
16,802005,08,SWB_S,M,100,802005,802005
17,803005,08,SWB_S,H,100,803005,823005
18,801006,08,BWBS_EP,L,1303,801006,801006
19,802006,08,BWBS_EP,M,1303,802006,802006
20,803006,08,BWBS_EP,H,1303,803006,803006
21,801007,08,SWB_PL,L,204,801007,801007
22,802007,08,SWB_PL,M,204,802007,802007
23,803007,08,SWB_PL,H,204,803007,803007
24,801008,08,BWBS_AT+SW,L,1201,801008,801008
25,802008,08,BWBS_AT+SW,M,1201,802008,802008
26,803008,08,BWBS_AT+SW,H,1201,803008,803008
27,1601000,16,ESSF_BL,L,304,1601000,1601000
28,1602000,16,ESSF_BL,M,304,1602000,1602000
29,1603000,16,ESSF_BL,H,304,1603000,1623000
30,1601001,16,ESSF_SX,L,100,1601001,1601001
31,1602001,16,ESSF_SX,M,100,1602001,1622001
32,1603001,16,ESSF_SX,H,100,1603001,1623001
33,1601002,16,BWBS_SX,L,100,1601002,1601002
34,1602002,16,BWBS_SX,M,100,1602002,1622002
35,1603002,16,BWBS_SX,H,100,1603002,1623002
36,1601003,16,SBS_SX,L,100,1601003,1621003
37,1602003,16,SBS_SX,M,100,1602003,1622003
38,1603003,16,SBS_SX,H,100,1603003,1623003
39,1601004,16,BWBS_PL,L,204,1601004,1601004
40,1602004,16,BWBS_PL,M,204,1602004,1622004
41,1603004,16,BWBS_PL,H,204,1603004,1623004
42,1601005,16,SWB_BL,L,304,1601005,1601005
43,1602005,16,SWB_BL,M,304,1602005,1602005
44,1603005,16,SWB_BL,H,304,1603005,1603005
45,1601006,16,ESSF_PL,L,204,1601006,1601006
46,1602006,16,ESSF_PL,M,204,1602006,1602006
47,1603006,16,ESSF_PL,H,204,1603006,1623006
48,1601007,16,SWB_SX,L,100,1601007,1601007
49,1602007,16,SWB_SX,M,100,1602007,1602007
50,1603007,16,SWB_SX,H,100,1603007,1623007
51,1601008,16,SBS_PL,L,204,1601008,1621008
52,1602008,16,SBS_PL,M,204,1602008,1622008
53,1603008,16,SBS_PL,H,204,1603008,1623008
54,1601009,16,SWB_PL,L,204,1601009,1601009
55,1602009,16,SWB_PL,M,204,1602009,1602009
56,1603009,16,SWB_PL,H,204,1603009,1623009
57,1601010,16,ESSF_SW,L,105,1601010,1621010
58,1602010,16,ESSF_SW,M,105,1602010,1622010
59,1603010,16,ESSF_SW,H,105,1603010,1623010
60,1601011,16,BWBS_AT,L,1201,1601011,1601011
61,1602011,16,BWBS_AT,M,1201,1602011,1622011
62,1603011,16,BWBS_AT,H,1201,1603011,1623011
63,2401000,24,SBS_SX,L,100,2401000,2401000
64,2402000,24,SBS_SX,M,100,2402000,2422000
65,2403000,24,SBS_SX,H,100,2403000,2423000
66,2401001,24,ESSF_BL,L,304,2401001,2401001
67,2402001,24,ESSF_BL,M,304,2402001,2402001
68,2403001,24,ESSF_BL,H,304,2403001,2423001
69,2401002,24,SBS_PLI,L,204,2401002,2421002
70,2402002,24,SBS_PLI,M,204,2402002,2422002
71,2403002,24,SBS_PLI,H,204,2403002,2423002
72,2401003,24,SBS_BL,L,304,2401003,2401003
73,2402003,24,SBS_BL,M,304,2402003,2422003
74,2403003,24,SBS_BL,H,304,2403003,2423003
75,2401004,24,ESSF_SE,L,104,2401004,2401004
76,2402004,24,ESSF_SE,M,104,2402004,2422004
77,2403004,24,ESSF_SE,H,104,2403004,2423004
78,2401005,24,SBS_AT,L,1201,2401005,2401005
79,2402005,24,SBS_AT,M,1201,2402005,2402005
80,2403005,24,SBS_AT,H,1201,2403005,2403005
81,2401006,24,SBS_AT+SX,L,1201,2401006,2401006
82,2402006,24,SBS_AT+SX,M,1201,2402006,2402006
83,2403006,24,SBS_AT+SX,H,1201,2403006,2403006
84,2401007,24,SBS_SX+AT,L,100,2401007,2421007
85,2402007,24,SBS_SX+AT,M,100,2402007,2422007
86,2403007,24,SBS_SX+AT,H,100,2403007,2423007
87,4001000,40,BWBS_SB,L,101,4001000,4001000
88,4002000,40,BWBS_SB,M,101,4002000,4002000
89,4003000,40,BWBS_SB,H,101,4003000,4003000
90,4001001,40,BWBS_AT,L,1201,4001001,4021001
91,4002001,40,BWBS_AT,M,1201,4002001,4022001
92,4003001,40,BWBS_AT,H,1201,4003001,4023001
93,4001002,40,BWBS_PL,L,204,4001002,4021002
94,4002002,40,BWBS_PL,M,204,4002002,4022002
95,4003002,40,BWBS_PL,H,204,4003002,4023002
96,4001003,40,BWBS_SW,L,105,4001003,4021003
97,4002003,40,BWBS_SW,M,105,4002003,4022003
98,4003003,40,BWBS_SW,H,105,4003003,4023003
99,4001004,40,ESSF_SW,L,105,4001004,4001004
100,4002004,40,ESSF_SW,M,105,4002004,4022004
101,4003004,40,ESSF_SW,H,105,4003004,4023004
102,4001005,40,BWBS_SX,L,100,4001005,4021005
103,4002005,40,BWBS_SX,M,100,4002005,4022005
104,4003005,40,BWBS_SX,H,100,4003005,4023005
105,4001006,40,SWB_SX,L,100,4001006,4001006
106,4002006,40,SWB_SX,M,100,4002006,4002006
107,4003006,40,SWB_SX,H,100,4003006,4023006
108,4101000,41,BWBS_AT,L,1201,4101000,4121000
109,4102000,41,BWBS_AT,M,1201,4102000,4122000
110,4103000,41,BWBS_AT,H,1201,4103000,4123000
111,4101001,41,ESSF_BL,L,304,4101001,4101001
112,4102001,41,ESSF_BL,M,304,4102001,4102001
113,4103001,41,ESSF_BL,H,304,4103001,4103001
114,4101002,41,ESSF_SE,L,104,4101002,4121002
115,4102002,41,ESSF_SE,M,104,4102002,4102002
116,4103002,41,ESSF_SE,H,104,4103002,4123002
117,4101003,41,BWBS_PLI,L,204,4101003,4121003
118,4102003,41,BWBS_PLI,M,204,4102003,4122003
119,4103003,41,BWBS_PLI,H,204,4103003,4123003
120,4101004,41,ESSF_PLI,L,204,4101004,4121004
121,4102004,41,ESSF_PLI,M,204,4102004,4122004
122,4103004,41,ESSF_PLI,H,204,4103004,4123004
123,4101005,41,BWBS_SB,L,101,4101005,4101005
124,4102005,41,BWBS_SB,M,101,4102005,4122005
125,4103005,41,BWBS_SB,H,101,4103005,4123005
126,4101006,41,BWBS_SW,L,105,4101006,4121006
127,4102006,41,BWBS_SW,M,105,4102006,4122006
128,4103006,41,BWBS_SW,H,105,4103006,4123006
129,4101007,41,ESSF_SX,L,100,4101007,4121007
130,4102007,41,ESSF_SX,M,100,4102007,4122007
131,4103007,41,ESSF_SX,H,100,4103007,4123007
132,4101008,41,BWBS_AC,L,1211,4101008,4121008
133,4102008,41,BWBS_AC,M,1211,4102008,4122008
134,4103008,41,BWBS_AC,H,1211,4103008,4123008
135,4101009,41,ESSF_PL,L,204,4101009,4121009
136,4102009,41,ESSF_PL,M,204,4102009,4122009
137,4103009,41,ESSF_PL,H,204,4103009,4123009
